,longitude,latitude,neighborhood
1187,-74.0007,40.6847,Carroll Gardens-Columbia Street-Red Hook
1195,-74.0005,40.7298,West Village
1211,-73.9806,40.7444,Murray Hill-Kips Bay
1212,-73.9874,40.7651,Clinton
1221,-73.9095,40.6895,Bushwick South
1226,-74.0148,40.7182,Battery Park City-Lower Manhattan
1240,-73.9849,40.6072,Bensonhurst East
1243,-74.0047,40.7334,West Village
1251,-73.9702,40.7521,Turtle Bay-East Midtown
1256,-73.9571,40.773,Lenox Hill-Roosevelt Island
1262,-73.9415,40.8299,Hamilton Heights
1279,-74.0046,40.7073,Battery Park City-Lower Manhattan
1283,-73.9401,40.8457,Washington Heights South
1288,-73.9879,40.7612,Clinton
1309,-73.9702,40.7522,Turtle Bay-East Midtown
1327,-73.97399999999998,40.7538,Turtle Bay-East Midtown
1332,-74.0056,40.733,West Village
1341,-73.9625,40.7993,Morningside Heights
1346,-73.984,40.7645,Midtown-Midtown South
1351,-73.857,40.7216,Forest Hills
1370,-73.9462,40.8113,Central Harlem North-Polo Grounds
1382,-73.9663,40.7541,Turtle Bay-East Midtown
1389,-73.9475,40.7753,Yorkville
1390,-74.0176,40.7113,Battery Park City-Lower Manhattan
1409,-73.929,40.7404,Hunters Point-Sunnyside-West Maspeth
1418,-73.9779,40.7475,Murray Hill-Kips Bay
1425,-73.9627,40.8015,Morningside Heights
1428,-74.0051,40.711,Battery Park City-Lower Manhattan
1444,-74.0,40.7285,West Village
1449,-73.9741,40.7447,Murray Hill-Kips Bay
1485,-73.9757,40.7477,Murray Hill-Kips Bay
1489,-73.9703,40.751,Turtle Bay-East Midtown
1505,-73.9482,40.8042,Central Harlem South
1544,-73.97800000000002,40.7266,Lower East Side
1563,-73.9704,40.8005,Upper West Side
1584,-73.9024,40.6959,Ridgewood
1586,-73.9538,40.7788,Yorkville
1593,-73.9596,40.7699,Lenox Hill-Roosevelt Island
1599,-74.018,40.7067,Battery Park City-Lower Manhattan
1600,-73.9566,40.7729,Lenox Hill-Roosevelt Island
1604,-74.0057,40.7084,Battery Park City-Lower Manhattan
1614,-74.0055,40.7111,Battery Park City-Lower Manhattan
1627,-74.0036,40.7399,West Village
1630,-73.9563,40.7681,Lenox Hill-Roosevelt Island
1639,-73.9908,40.703,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
1646,-73.9818,40.7389,Gramercy
1656,-73.9565,40.7465,Hunters Point-Sunnyside-West Maspeth
1663,-73.8309,40.703,Kew Gardens
1675,-74.0149,40.708,Battery Park City-Lower Manhattan
1687,-73.9923,40.66,Sunset Park West
1703,-73.9446,40.7797,Yorkville
1710,-74.0106,40.7236,SoHo-TriBeCa-Civic Center-Little Italy
1728,-73.9478,40.773,Yorkville
1745,-74.0162,40.7056,Battery Park City-Lower Manhattan
1750,-74.0089,40.7328,West Village
1759,-73.9498,40.7856,East Harlem South
1763,-73.9841,40.742,Gramercy
1778,-73.9553,40.771,Lenox Hill-Roosevelt Island
1784,-74.0026,40.7512,Hudson Yards-Chelsea-Flatiron-Union Square
1789,-73.9412,40.7885,East Harlem South
1793,-74.0111,40.7061,Battery Park City-Lower Manhattan
1798,-73.9677,40.7539,Turtle Bay-East Midtown
1802,-73.9748,40.7481,Murray Hill-Kips Bay
1809,-73.9648,40.7572,Turtle Bay-East Midtown
1826,-73.9487,40.7845,Yorkville
1834,-73.9591,40.7728,Upper East Side-Carnegie Hill
1839,-74.0026,40.7383,West Village
1842,-73.9893,40.7295,East Village
1856,-73.9592,40.8157,Morningside Heights
1863,-73.9845,40.7454,Midtown-Midtown South
1870,-73.9843,40.7648,Clinton
1874,-74.0076,40.7047,Battery Park City-Lower Manhattan
1910,-73.9727,40.7904,Upper West Side
1915,-73.9492,40.7707,Lenox Hill-Roosevelt Island
1918,-73.9668,40.6905,Clinton Hill
1940,-73.9994,40.7298,West Village
1952,-73.9808,40.7216,Lower East Side
1959,-73.9892,40.7225,Chinatown
1967,-73.9628,40.7593,Turtle Bay-East Midtown
1968,-73.9963,40.7606,Clinton
1988,-74.0076,40.7047,Battery Park City-Lower Manhattan
2000,-73.9818,40.7386,Gramercy
2005,-74.0149,40.708,Battery Park City-Lower Manhattan
2008,-73.9782,40.7426,Murray Hill-Kips Bay
2021,-73.94800000000002,40.7704,Yorkville
2038,-73.9809,40.7406,Murray Hill-Kips Bay
2075,-73.9668,40.8015,Morningside Heights
2082,-73.9999,40.7297,West Village
2086,-74.0053,40.7448,Hudson Yards-Chelsea-Flatiron-Union Square
2096,-73.9995,40.7393,Hudson Yards-Chelsea-Flatiron-Union Square
2101,-73.9472,40.7895,East Harlem South
2111,-73.9789,40.7492,Murray Hill-Kips Bay
2140,-73.9805,40.743,Murray Hill-Kips Bay
2144,-73.9426,40.652,East Flatbush-Farragut
2167,-73.962,40.7668,Lenox Hill-Roosevelt Island
2174,-74.0064,40.7437,Hudson Yards-Chelsea-Flatiron-Union Square
2179,-73.9757,40.7289,Stuyvesant Town-Cooper Village
2188,-73.9827,40.7827,Upper West Side
2196,-73.9523,40.7783,Yorkville
2201,-73.9482,40.7832,Yorkville
2219,-73.9529,40.7671,Lenox Hill-Roosevelt Island
2244,-74.0045,40.7311,West Village
2251,-73.92,40.7027,Bushwick North
2273,-73.9523,40.7784,Yorkville
2291,-73.9529,40.7671,Lenox Hill-Roosevelt Island
2301,-73.984,40.7645,Midtown-Midtown South
2306,-73.8439,40.7164,Forest Hills
2320,-73.9935,40.7214,Chinatown
2327,-73.9772,40.7412,Murray Hill-Kips Bay
2336,-73.9916,40.7272,West Village
2339,-73.9811,40.7398,Murray Hill-Kips Bay
2352,-73.9626,40.7618,Lenox Hill-Roosevelt Island
2365,-74.0069,40.7074,Battery Park City-Lower Manhattan
2372,-73.9415,40.6258,Flatlands
2401,-73.9799,40.7662,Midtown-Midtown South
2406,-73.9865,40.7365,Gramercy
2437,-74.0127,40.7028,Battery Park City-Lower Manhattan
2442,-73.952,40.7799,Yorkville
2445,-74.0055,40.7111,Battery Park City-Lower Manhattan
2447,-73.9662,40.755,Turtle Bay-East Midtown
2451,-73.9669,40.8021,Morningside Heights
2452,-73.9821,40.739,Gramercy
2468,-73.9638,40.7634,Lenox Hill-Roosevelt Island
2486,-73.9495,40.7621,Lenox Hill-Roosevelt Island
2491,-73.9767,40.7405,Murray Hill-Kips Bay
2494,-73.9924,40.6881,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2501,-73.9573,40.8039,Central Harlem South
2534,-73.9957,40.7427,Hudson Yards-Chelsea-Flatiron-Union Square
2535,-73.9749,40.7437,Murray Hill-Kips Bay
2556,-73.9621,40.7669,Lenox Hill-Roosevelt Island
2570,-73.9802,40.7469,Murray Hill-Kips Bay
2575,-73.9376,40.8404,Washington Heights South
2581,-73.9676,40.7637,Upper East Side-Carnegie Hill
2584,-73.98899999999998,40.7352,Gramercy
2622,-73.9398,40.6678,Crown Heights South
2623,-73.97399999999998,40.7538,Turtle Bay-East Midtown
2624,-73.9595,40.7809,Upper East Side-Carnegie Hill
2629,-73.9857,40.7283,East Village
2653,-74.0046,40.7073,Battery Park City-Lower Manhattan
2668,-73.9806,40.7444,Murray Hill-Kips Bay
2673,-73.9824,40.7236,East Village
2686,-73.9864,40.7708,Lincoln Square
2695,-73.9626,40.7617,Lenox Hill-Roosevelt Island
2704,-73.9794,40.7804,Upper West Side
2731,-73.9959,40.7344,West Village
2738,-73.9601,40.7676,Lenox Hill-Roosevelt Island
2744,-73.9564,40.7459,Hunters Point-Sunnyside-West Maspeth
2748,-74.0053,40.7456,Hudson Yards-Chelsea-Flatiron-Union Square
2759,-73.9809,40.6811,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2767,-73.9933,40.7366,Hudson Yards-Chelsea-Flatiron-Union Square
2786,-73.8926,40.8635,Bedford Park-Fordham North
2806,-73.9609,40.6515,Flatbush
2817,-73.9476,40.7135,East Williamsburg
2832,-73.8145,40.755,East Flushing
2840,-74.00399999999998,40.6561,Sunset Park West
2848,-74.0148,40.7091,Battery Park City-Lower Manhattan
2862,-73.8691,40.7271,Rego Park
2871,-73.9962,40.7131,Chinatown
2877,-73.9848,40.6886,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
2888,-73.9787,40.7269,Lower East Side
2896,-74.0069,40.7074,Battery Park City-Lower Manhattan
2900,-73.9574,40.7672,Lenox Hill-Roosevelt Island
2907,-73.9764,40.7894,Upper West Side
2917,-73.9843,40.7652,Clinton
2930,-73.9833,40.7246,East Village
2934,-73.9838,40.7586,Midtown-Midtown South
2940,-73.9865,40.7348,Gramercy
2948,-73.9786,40.7886,Upper West Side
2954,-73.9737,40.7911,Upper West Side
2959,-74.0162,40.7053,Battery Park City-Lower Manhattan
2966,-73.9585,40.7437,Hunters Point-Sunnyside-West Maspeth
2990,-73.9794,40.7804,Upper West Side
3019,-74.0145,40.7048,Battery Park City-Lower Manhattan
3032,-73.9507,40.773,Yorkville
3033,-73.9555,40.737,Greenpoint
3049,-73.9535,40.7775,Yorkville
3056,-73.9811,40.7398,Murray Hill-Kips Bay
3057,-73.9249,40.6769,Crown Heights North
3065,-73.9935,40.7247,West Village
3079,-73.9837,40.7275,East Village
3083,-74.0037,40.7279,SoHo-TriBeCa-Civic Center-Little Italy
3093,-74.0149,40.708,Battery Park City-Lower Manhattan
3103,-73.94,40.8223,Central Harlem North-Polo Grounds
3111,-73.952,40.786,Upper East Side-Carnegie Hill
3129,-73.9591,40.764,Lenox Hill-Roosevelt Island
3154,-73.9408,40.8317,Washington Heights South
3167,-73.9559,40.7816,Upper East Side-Carnegie Hill
3170,-73.9917,40.7408,Hudson Yards-Chelsea-Flatiron-Union Square
3175,-73.9574,40.8033,Central Harlem South
3210,-73.959,40.7622,Lenox Hill-Roosevelt Island
3213,-73.9876,40.7104,Lower East Side
3217,-73.9778,40.6481,Windsor Terrace
3233,-73.9727,40.7436,Turtle Bay-East Midtown
3247,-74.0076,40.7047,Battery Park City-Lower Manhattan
3252,-73.9895,40.7023,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
3271,-73.97,40.7973,Upper West Side
3278,-73.9892,40.726,East Village
3291,-73.9962,40.7593,Hudson Yards-Chelsea-Flatiron-Union Square
3296,-73.9839,40.7307,East Village
3320,-74.0072,40.7067,Battery Park City-Lower Manhattan
3333,-73.9809,40.7275,East Village
3338,-73.9727,40.7436,Turtle Bay-East Midtown
3344,-74.036,40.6358,Bay Ridge
3345,-73.9796,40.7292,East Village
3366,-73.9969,40.742,Hudson Yards-Chelsea-Flatiron-Union Square
3370,-73.9264,40.7699,Old Astoria
3389,-73.9464,40.7805,Yorkville
3393,-73.9525,40.7779,Yorkville
3399,-74.008,40.7321,West Village
3403,-74.0051,40.7304,West Village
3423,-73.9663,40.7585,Turtle Bay-East Midtown
3427,-74.0101,40.7067,Battery Park City-Lower Manhattan
3433,-73.9527,40.8226,Hamilton Heights
3438,-73.9898,40.7273,East Village
3456,-73.9727,40.7436,Turtle Bay-East Midtown
3468,-73.9786,40.7634,Midtown-Midtown South
3489,-73.9491,40.6828,Bedford
3494,-74.0044,40.7231,SoHo-TriBeCa-Civic Center-Little Italy
3518,-73.9785,40.7457,Murray Hill-Kips Bay
3540,-73.952,40.7748,Yorkville
3545,-73.9825,40.7208,Lower East Side
3553,-73.9563,40.7681,Lenox Hill-Roosevelt Island
3573,-73.9829,40.7179,Lower East Side
3593,-73.9603,40.7694,Lenox Hill-Roosevelt Island
3597,-73.9816,40.7768,Lincoln Square
3601,-73.9695,40.753,Turtle Bay-East Midtown
3606,-73.9123,40.7445,Hunters Point-Sunnyside-West Maspeth
3612,-73.9905,40.7656,Clinton
3619,-74.0059,40.7075,Battery Park City-Lower Manhattan
3628,-73.9781,40.7413,Murray Hill-Kips Bay
3634,-73.9721,40.7513,Turtle Bay-East Midtown
3641,-74.0003,40.7349,West Village
3642,-73.9904,40.7584,Clinton
3648,-73.9661,40.7929,Upper West Side
3656,-74.0149,40.708,Battery Park City-Lower Manhattan
3661,-73.9874,40.7259,East Village
3668,-73.9864,40.73,East Village
3673,-73.9838,40.7674,Clinton
3679,-73.9952,40.7606,Clinton
3684,-73.9678,40.7902,Upper West Side
3696,-73.9625,40.7575,Turtle Bay-East Midtown
3719,-73.9988,40.7371,West Village
3723,-73.9786,40.7291,East Village
3735,-73.9415,40.7883,East Harlem South
3741,-73.9757,40.7462,Murray Hill-Kips Bay
3748,-73.9615,40.6668,Crown Heights South
3750,-73.9763,40.7878,Upper West Side
3761,-73.9712,40.7594,Turtle Bay-East Midtown
3784,-73.9497,40.8051,Central Harlem South
3785,-73.9772,40.7412,Murray Hill-Kips Bay
3795,-73.9577,40.7676,Lenox Hill-Roosevelt Island
3796,-73.9543,40.7716,Lenox Hill-Roosevelt Island
3802,-73.9986,40.6936,Brooklyn Heights-Cobble Hill
3809,-73.9608,40.7688,Lenox Hill-Roosevelt Island
3816,-73.971,40.6769,Prospect Heights
3835,-73.9748,40.6785,Prospect Heights
3840,-73.9877,40.7643,Clinton
3841,-73.9803,40.7465,Murray Hill-Kips Bay
3845,-73.9496,40.7817,Yorkville
3879,-73.9837,40.7835,Upper West Side
3884,-74.0035,40.7275,SoHo-TriBeCa-Civic Center-Little Italy
3897,-73.9999,40.7424,Hudson Yards-Chelsea-Flatiron-Union Square
3910,-73.9839,40.7283,East Village
3915,-73.9564,40.7481,Hunters Point-Sunnyside-West Maspeth
3917,-74.0336,40.7297,Unknown
3928,-73.9416,40.8163,Central Harlem North-Polo Grounds
3929,-73.9554,40.7787,Upper East Side-Carnegie Hill
3934,-73.9727,40.7436,Turtle Bay-East Midtown
3942,-73.9675,40.7943,Upper West Side
3982,-74.0069,40.7074,Battery Park City-Lower Manhattan
3987,-73.8607,40.7267,Rego Park
3991,-73.9594,40.7681,Lenox Hill-Roosevelt Island
4002,-73.9865,40.7367,Gramercy
4009,-73.9185,40.8682,Marble Hill-Inwood
4036,-73.94800000000002,40.7842,Yorkville
4037,-73.9938,40.7637,Clinton
4044,-74.0037,40.7279,SoHo-TriBeCa-Civic Center-Little Italy
4049,-74.0096,40.7141,SoHo-TriBeCa-Civic Center-Little Italy
4053,-73.954,40.7753,Yorkville
4066,-73.9818,40.7708,Lincoln Square
4083,-74.0046,40.7073,Battery Park City-Lower Manhattan
4094,-73.9951,40.7606,Clinton
4106,-73.9566,40.7215,North Side-South Side
4111,-73.9886,40.777,Lincoln Square
4115,-73.9487,40.7794,Yorkville
4122,-73.9744,40.7477,Murray Hill-Kips Bay
4129,-73.9764,40.7839,Upper West Side
4140,-73.9566,40.7704,Lenox Hill-Roosevelt Island
4150,-73.9864,40.7514,Midtown-Midtown South
4175,-73.9739,40.7536,Turtle Bay-East Midtown
4197,-73.9509,40.8247,Hamilton Heights
4215,-74.0,40.7285,West Village
4220,-74.0072,40.7067,Battery Park City-Lower Manhattan
4234,-73.9971,40.7386,Hudson Yards-Chelsea-Flatiron-Union Square
4242,-73.9506,40.773,Yorkville
4259,-73.9618,40.8003,Morningside Heights
4260,-73.9875,40.7494,Midtown-Midtown South
4277,-73.9879,40.7653,Clinton
4283,-73.9143,40.6842,Ocean Hill
4287,-73.9577,40.7734,Lenox Hill-Roosevelt Island
4291,-73.9741,40.7369,Murray Hill-Kips Bay
4299,-73.9543,40.6744,Crown Heights North
4309,-73.9866,40.7306,East Village
4314,-73.9919,40.7436,Hudson Yards-Chelsea-Flatiron-Union Square
4325,-73.9818,40.738,Gramercy
4342,-73.9518,40.7802,Yorkville
4351,-73.9471,40.7736,Yorkville
4355,-73.9515,40.7711,Lenox Hill-Roosevelt Island
4365,-74.0053,40.7448,Hudson Yards-Chelsea-Flatiron-Union Square
4380,-74.001,40.735,West Village
4389,-74.0157,40.7064,Battery Park City-Lower Manhattan
4398,-73.9773,40.7463,Murray Hill-Kips Bay
4403,-73.979,40.7368,Gramercy
4408,-73.9625,40.7993,Morningside Heights
4413,-73.9563,40.7681,Lenox Hill-Roosevelt Island
4427,-74.0095,40.7162,SoHo-TriBeCa-Civic Center-Little Italy
4447,-73.9795,40.7404,Murray Hill-Kips Bay
4454,-73.9477,40.8256,Hamilton Heights
4459,-73.8859,40.8769,Bedford Park-Fordham North
4465,-73.9857,40.7358,Gramercy
4469,-73.9943,40.759,Clinton
4473,-73.9661,40.7929,Upper West Side
4489,-73.968,40.7976,Upper West Side
4514,-73.9778,40.7467,Murray Hill-Kips Bay
4523,-73.9905,40.7656,Clinton
4526,-73.9415,40.7899,East Harlem South
4530,-73.9495,40.8139,Central Harlem North-Polo Grounds
4538,-73.9647,40.8012,Morningside Heights
4569,-73.9744,40.7898,Upper West Side
4605,-73.9625,40.7993,Morningside Heights
4611,-73.98100000000002,40.7876,Upper West Side
4628,-73.965,40.8029,Morningside Heights
4633,-73.9742,40.796,Upper West Side
4641,-73.9482,40.7811,Yorkville
4658,-73.98,40.7292,East Village
4665,-73.9594,40.7681,Lenox Hill-Roosevelt Island
4670,-73.9664,40.803,Morningside Heights
4676,-73.9953,40.7606,Clinton
4680,-73.9706,40.7986,Upper West Side
4685,-73.9991,40.7336,West Village
4687,-74.0055,40.7434,Hudson Yards-Chelsea-Flatiron-Union Square
4693,-73.9498,40.7845,Yorkville
4694,-73.9646,40.7985,Upper West Side
4708,-73.9514,40.7712,Lenox Hill-Roosevelt Island
4715,-74.0,40.7285,West Village
4725,-74.0021,40.7253,SoHo-TriBeCa-Civic Center-Little Italy
4743,-73.986,40.6927,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
4750,-73.8235,40.701,Richmond Hill
4757,-73.9182,40.6869,Stuyvesant Heights
4769,-73.9425,40.7487,Hunters Point-Sunnyside-West Maspeth
4786,-73.9743,40.7521,Turtle Bay-East Midtown
4816,-73.9894,40.7037,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
4821,-73.9227,40.6956,Bushwick South
4825,-74.003,40.7335,West Village
4827,-73.9963,40.7226,SoHo-TriBeCa-Civic Center-Little Italy
4836,-73.9616,40.7677,Lenox Hill-Roosevelt Island
4841,-73.9471,40.7807,Yorkville
4844,-73.9912,40.7377,Hudson Yards-Chelsea-Flatiron-Union Square
4857,-73.9501,40.7682,Lenox Hill-Roosevelt Island
4858,-73.97710000000002,40.7465,Murray Hill-Kips Bay
4873,-73.9202,40.8648,Marble Hill-Inwood
4880,-73.9501,40.774,Yorkville
4887,-74.0143,40.7088,Battery Park City-Lower Manhattan
4894,-74.0066,40.7084,Battery Park City-Lower Manhattan
4913,-73.9551,40.675,Crown Heights North
4923,-73.9941,40.6899,Carroll Gardens-Columbia Street-Red Hook
4929,-73.9508,40.7758,Yorkville
4939,-73.9875,40.7494,Midtown-Midtown South
4949,-73.9216,40.6907,Bushwick South
4958,-73.9803,40.7465,Murray Hill-Kips Bay
4960,-73.9416,40.79,East Harlem South
4967,-73.9775,40.7337,Stuyvesant Town-Cooper Village
4991,-73.9934,40.7366,Hudson Yards-Chelsea-Flatiron-Union Square
4992,-73.9848,40.7635,Midtown-Midtown South
5000,-73.9531,40.7176,North Side-South Side
5006,-73.9774,40.7835,Upper West Side
5014,-73.9973,40.7565,Hudson Yards-Chelsea-Flatiron-Union Square
5017,-73.9486,40.8309,Hamilton Heights
5026,-74.0086,40.7121,SoHo-TriBeCa-Civic Center-Little Italy
5033,-73.9529,40.8169,Manhattanville
5038,-73.9574,40.7659,Lenox Hill-Roosevelt Island
5044,-73.9505,40.7771,Yorkville
5048,-73.9861,40.7608,Midtown-Midtown South
5053,-73.9466,40.8272,Hamilton Heights
5059,-73.9646,40.7985,Upper West Side
5065,-74.0065,40.7388,West Village
5068,-74.0025,40.7505,Hudson Yards-Chelsea-Flatiron-Union Square
5080,-73.9578,40.8198,Manhattanville
5087,-73.9875,40.7494,Midtown-Midtown South
5093,-73.9813,40.7724,Lincoln Square
5110,-73.9085,40.7601,Astoria
5125,-73.9594,40.7738,Upper East Side-Carnegie Hill
5140,-73.9765,40.7489,Murray Hill-Kips Bay
5157,-74.0014,40.7481,Hudson Yards-Chelsea-Flatiron-Union Square
5175,-73.9837,40.7783,Lincoln Square
5188,-73.9912,40.7443,Hudson Yards-Chelsea-Flatiron-Union Square
5204,-73.9434,40.8253,Hamilton Heights
5209,-73.9789,40.7425,Murray Hill-Kips Bay
5217,-74.0027,40.7209,SoHo-TriBeCa-Civic Center-Little Italy
5218,-73.9241,40.7454,Hunters Point-Sunnyside-West Maspeth
5226,-73.9802,40.7469,Murray Hill-Kips Bay
5233,-73.9242,40.6552,Rugby-Remsen Village
5239,-73.9878,40.7657,Clinton
5243,-73.9818,40.6933,Fort Greene
5252,-73.9823,40.7448,Murray Hill-Kips Bay
5258,-73.9686,40.7563,Turtle Bay-East Midtown
5261,-73.9619,40.7656,Lenox Hill-Roosevelt Island
5264,-73.9891,40.7596,Clinton
5269,-73.98100000000002,40.7345,Gramercy
5281,-74.0013,40.7081,Battery Park City-Lower Manhattan
5293,-74.0055,40.7111,Battery Park City-Lower Manhattan
5302,-73.9657,40.6895,Clinton Hill
5318,-73.9638,40.7634,Lenox Hill-Roosevelt Island
5325,-73.9101,40.7682,Astoria
5330,-73.9929,40.6983,Brooklyn Heights-Cobble Hill
5351,-74.0165,40.7109,Battery Park City-Lower Manhattan
5367,-73.9677,40.7539,Turtle Bay-East Midtown
5378,-73.9865,40.7338,Gramercy
5384,-73.9755,40.7487,Murray Hill-Kips Bay
5401,-73.9901,40.7487,Midtown-Midtown South
5417,-73.9166,40.6881,Bushwick South
5444,-73.937,40.8417,Washington Heights South
5448,-73.9522,40.7804,Yorkville
5467,-73.953,40.779,Yorkville
5474,-73.9743,40.7439,Murray Hill-Kips Bay
5483,-73.9958,40.753,Hudson Yards-Chelsea-Flatiron-Union Square
5487,-73.9757,40.7461,Murray Hill-Kips Bay
5492,-73.9349,40.8465,Washington Heights South
5497,-73.9875,40.7494,Midtown-Midtown South
5507,-73.9622,40.7588,Turtle Bay-East Midtown
5512,-73.9469,40.7773,Yorkville
5516,-74.0148,40.7091,Battery Park City-Lower Manhattan
5531,-74.0039,40.7304,West Village
