,longitude,latitude,neighborhood
364,-73.9774,40.7447,Murray Hill-Kips Bay
365,-73.9994,40.7606,Hudson Yards-Chelsea-Flatiron-Union Square
367,-73.9846,40.6629,Park Slope-Gowanus
368,-73.9812,40.7716,Lincoln Square
369,-73.9505,40.7165,North Side-South Side
370,-73.9533,40.771,Lenox Hill-Roosevelt Island
371,-73.9819,40.7725,Lincoln Square
372,-73.9798,40.7239,Lower East Side
373,-73.90899999999998,40.7787,Steinway
375,-73.9129,40.7579,Astoria
376,-73.9992,40.7284,West Village
377,-73.9817,40.7655,Midtown-Midtown South
378,-73.9971,40.7439,Hudson Yards-Chelsea-Flatiron-Union Square
380,-74.0059,40.7847,Unknown
381,-74.0149,40.708,Battery Park City-Lower Manhattan
382,-73.9927,40.7301,West Village
383,-73.9946,40.7233,SoHo-TriBeCa-Civic Center-Little Italy
385,-73.9845,40.7454,Midtown-Midtown South
386,-73.9563,40.7681,Lenox Hill-Roosevelt Island
387,-73.9915,40.7678,Clinton
388,-73.9887,40.7401,Hudson Yards-Chelsea-Flatiron-Union Square
389,-73.9931,40.7327,West Village
390,-74.0035,40.7396,West Village
391,-73.9216,40.6907,Bushwick South
392,-73.9052,40.86,Kingsbridge Heights
393,-73.9488,40.7972,East Harlem South
394,-73.9318,40.8539,Washington Heights North
395,-73.9488,40.7699,Lenox Hill-Roosevelt Island
396,-73.9964,40.7624,Clinton
397,-73.929,40.7404,Hunters Point-Sunnyside-West Maspeth
398,-73.986,40.6927,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
399,-73.9781,40.7658,Midtown-Midtown South
400,-73.97800000000002,40.7351,Stuyvesant Town-Cooper Village
401,-73.8676,40.7365,Elmhurst
402,-73.9694,40.7988,Upper West Side
403,-73.9958,40.753,Hudson Yards-Chelsea-Flatiron-Union Square
404,-73.9421,40.7864,East Harlem South
405,-73.968,40.7976,Upper West Side
406,-74.0006,40.7383,West Village
407,-73.9617,40.7617,Lenox Hill-Roosevelt Island
408,-74.00399999999998,40.7297,West Village
409,-73.9518,40.7717,Lenox Hill-Roosevelt Island
410,-73.9705,40.7957,Upper West Side
411,-73.9822,40.7401,Murray Hill-Kips Bay
412,-73.9712,40.7594,Turtle Bay-East Midtown
413,-74.0111,40.7061,Battery Park City-Lower Manhattan
414,-73.9148,40.8713,Marble Hill-Inwood
415,-73.9398,40.8266,Central Harlem North-Polo Grounds
416,-73.9466,40.7803,Yorkville
417,-73.9882,40.6661,Park Slope-Gowanus
418,-74.0109,40.7035,Battery Park City-Lower Manhattan
419,-73.9851,40.7437,Hudson Yards-Chelsea-Flatiron-Union Square
420,-73.9776,40.7454,Murray Hill-Kips Bay
421,-73.9828,40.7192,Lower East Side
422,-74.0101,40.7067,Battery Park City-Lower Manhattan
423,-74.0047,40.7334,West Village
424,-73.9865,40.7348,Gramercy
425,-73.9515,40.7779,Yorkville
427,-73.9941,40.7638,Clinton
428,-73.9587,40.8025,Morningside Heights
429,-73.9695,40.753,Turtle Bay-East Midtown
431,-74.0099,40.7062,Battery Park City-Lower Manhattan
432,-74.0044,40.7231,SoHo-TriBeCa-Civic Center-Little Italy
433,-73.9952,40.7213,SoHo-TriBeCa-Civic Center-Little Italy
434,-73.949,40.8247,Hamilton Heights
435,-73.9532,40.7105,North Side-South Side
436,-73.9606,40.8013,Morningside Heights
437,-73.9486,40.7104,East Williamsburg
438,-74.0099,40.7079,Battery Park City-Lower Manhattan
439,-73.9708,40.795,Upper West Side
440,-73.9551,40.7748,Yorkville
441,-73.9831,40.731,East Village
442,-73.957,40.8031,Central Harlem South
443,-73.9772,40.7412,Murray Hill-Kips Bay
444,-73.9621,40.7669,Lenox Hill-Roosevelt Island
445,-73.9805,40.7443,Murray Hill-Kips Bay
446,-73.9773,40.7463,Murray Hill-Kips Bay
447,-73.9826,40.7299,East Village
448,-73.9832,40.728,East Village
449,-73.9601,40.7676,Lenox Hill-Roosevelt Island
450,-73.9944,40.7548,Hudson Yards-Chelsea-Flatiron-Union Square
453,-73.9779,40.7466,Murray Hill-Kips Bay
454,-74.0051,40.7482,Hudson Yards-Chelsea-Flatiron-Union Square
455,-73.9835,40.7775,Lincoln Square
456,-74.0047,40.7334,West Village
457,-73.9874,40.7743,Lincoln Square
458,-73.9857,40.7691,Lincoln Square
459,-74.0065,40.7081,Battery Park City-Lower Manhattan
460,-73.9897,40.7652,Clinton
461,-73.9875,40.7283,East Village
462,-73.9805,40.743,Murray Hill-Kips Bay
463,-73.9535,40.7989,Central Harlem South
464,-73.9915,40.7678,Clinton
465,-73.9668,40.6905,Clinton Hill
466,-73.9529,40.7739,Yorkville
467,-73.9503,40.6692,Crown Heights South
468,-73.9982,40.7568,Hudson Yards-Chelsea-Flatiron-Union Square
469,-73.9819,40.7299,East Village
470,-73.9425,40.7039,East Williamsburg
471,-73.9959,40.7593,Hudson Yards-Chelsea-Flatiron-Union Square
472,-73.9682,40.7537,Turtle Bay-East Midtown
473,-73.9738,40.7376,Murray Hill-Kips Bay
474,-74.0111,40.7061,Battery Park City-Lower Manhattan
475,-73.9972,40.7331,West Village
476,-73.9838,40.7587,Midtown-Midtown South
477,-74.0149,40.708,Battery Park City-Lower Manhattan
479,-73.9414,40.844,Washington Heights South
480,-73.9869,40.7678,Clinton
481,-74.0029,40.7295,West Village
482,-74.0169,40.709,Battery Park City-Lower Manhattan
483,-73.9727,40.7436,Turtle Bay-East Midtown
484,-73.9828,40.694,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
485,-74.0026,40.7512,Hudson Yards-Chelsea-Flatiron-Union Square
486,-73.98100000000002,40.74800000000001,Murray Hill-Kips Bay
487,-73.9875,40.7324,East Village
488,-73.9907,40.7177,Chinatown
490,-73.9645,40.7922,Upper West Side
491,-73.9475,40.7742,Yorkville
492,-74.0046,40.7073,Battery Park City-Lower Manhattan
493,-73.9425,40.7487,Hunters Point-Sunnyside-West Maspeth
494,-73.957,40.8031,Central Harlem South
496,-73.9478,40.7786,Yorkville
497,-73.9742,40.7535,Turtle Bay-East Midtown
498,-73.9649,40.7559,Turtle Bay-East Midtown
499,-73.9875,40.7324,East Village
500,-73.9427,40.8342,Washington Heights South
501,-73.9489,40.778,Yorkville
502,-73.9547,40.7688,Lenox Hill-Roosevelt Island
503,-73.9822,40.6729,Park Slope-Gowanus
504,-73.9973,40.7565,Hudson Yards-Chelsea-Flatiron-Union Square
505,-73.9549,40.7203,North Side-South Side
506,-73.9968,40.7562,Hudson Yards-Chelsea-Flatiron-Union Square
507,-73.9525,40.6828,Bedford
508,-73.9959,40.7593,Hudson Yards-Chelsea-Flatiron-Union Square
509,-73.979,40.7369,Gramercy
510,-73.9527,40.8242,Hamilton Heights
511,-73.9827,40.7835,Upper West Side
512,-73.9527,40.8226,Hamilton Heights
513,-73.9496,40.7803,Yorkville
514,-74.0069,40.7074,Battery Park City-Lower Manhattan
515,-73.9978,40.7612,Clinton
516,-73.9538,40.8221,Hamilton Heights
517,-73.9453,40.7787,Yorkville
518,-73.9603,40.7695,Lenox Hill-Roosevelt Island
519,-73.9485,40.6814,Bedford
520,-73.8292,40.8441,Schuylerville-Throgs Neck-Edgewater Park
521,-73.9506,40.7716,Yorkville
522,-73.9356,40.7988,East Harlem North
523,-73.9795,40.7404,Murray Hill-Kips Bay
524,-73.9788,40.7466,Murray Hill-Kips Bay
525,-73.9506,40.7716,Yorkville
526,-73.9828,40.724,East Village
527,-73.9625,40.7963,Upper West Side
528,-73.979,40.7369,Gramercy
530,-73.9673,40.7571,Turtle Bay-East Midtown
531,-73.913,40.6853,Bushwick South
532,-74.0022,40.7505,Hudson Yards-Chelsea-Flatiron-Union Square
533,-73.9925,40.7225,Chinatown
535,-73.9457,40.8234,Hamilton Heights
536,-73.9678,40.7902,Upper West Side
537,-73.9609,40.7998,Morningside Heights
538,-73.9528,40.7815,Upper East Side-Carnegie Hill
540,-73.9564,40.7711,Lenox Hill-Roosevelt Island
541,-73.9964,40.7391,Hudson Yards-Chelsea-Flatiron-Union Square
542,-73.9712,40.7594,Turtle Bay-East Midtown
543,-73.9415,40.6258,Flatlands
544,-73.98100000000002,40.7423,Murray Hill-Kips Bay
545,-73.9968,40.7562,Hudson Yards-Chelsea-Flatiron-Union Square
546,-73.9182,40.6754,Ocean Hill
547,-73.986,40.7609,Midtown-Midtown South
548,-73.9989,40.7611,Clinton
549,-73.9416,40.8163,Central Harlem North-Polo Grounds
550,-73.8258,40.7118,Kew Gardens
551,-74.0043,40.7075,Battery Park City-Lower Manhattan
552,-73.9566,40.7704,Lenox Hill-Roosevelt Island
554,-73.9635,40.7637,Lenox Hill-Roosevelt Island
555,-73.9958,40.753,Hudson Yards-Chelsea-Flatiron-Union Square
556,-74.0055,40.7111,Battery Park City-Lower Manhattan
557,-74.0047,40.7334,West Village
558,-73.9833,40.7277,East Village
560,-73.9804,40.73,East Village
561,-73.9948,40.7592,Clinton
562,-73.9736,40.7473,Murray Hill-Kips Bay
563,-73.9947,40.7239,SoHo-TriBeCa-Civic Center-Little Italy
564,-73.9825,40.6913,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
565,-73.9682,40.7984,Upper West Side
566,-73.9829,40.7718,Lincoln Square
567,-74.0069,40.7074,Battery Park City-Lower Manhattan
568,-73.98100000000002,40.7547,Midtown-Midtown South
569,-73.9834,40.7834,Upper West Side
570,-73.9926,40.7596,Clinton
572,-73.9239,40.6963,Bushwick South
573,-73.9837,40.7307,East Village
574,-73.97710000000002,40.7481,Murray Hill-Kips Bay
575,-73.9875,40.7283,East Village
576,-73.9955,40.7553,Hudson Yards-Chelsea-Flatiron-Union Square
577,-73.9984,40.7177,SoHo-TriBeCa-Civic Center-Little Italy
578,-73.9567,40.6402,Flatbush
580,-73.9982,40.7568,Hudson Yards-Chelsea-Flatiron-Union Square
581,-73.967,40.7072,North Side-South Side
582,-74.01,40.7064,Battery Park City-Lower Manhattan
583,-73.9804,40.7783,Lincoln Square
584,-73.9598,40.8087,Morningside Heights
585,-73.9506,40.7747,Yorkville
586,-73.9907,40.7632,Clinton
587,-74.0086,40.706,Battery Park City-Lower Manhattan
589,-73.8487,40.7286,Forest Hills
590,-73.9528,40.7739,Yorkville
591,-74.0072,40.7067,Battery Park City-Lower Manhattan
592,-73.9576,40.7688,Lenox Hill-Roosevelt Island
593,-73.9963,40.7606,Clinton
594,-73.9444,40.7802,Yorkville
595,-74.0101,40.7067,Battery Park City-Lower Manhattan
596,-73.9456,40.7767,Yorkville
597,-73.9794,40.7297,East Village
598,-73.9528,40.7796,Yorkville
599,-73.9998,40.7613,Hudson Yards-Chelsea-Flatiron-Union Square
600,-73.9578,40.6764,Crown Heights North
601,-74.0014,40.7367,West Village
602,-73.9798,40.7255,Lower East Side
603,-74.0149,40.708,Battery Park City-Lower Manhattan
604,-73.9999,40.7296,West Village
605,-73.9938,40.7376,Hudson Yards-Chelsea-Flatiron-Union Square
606,-73.9596,40.7998,Morningside Heights
607,-73.9742,40.7959,Upper West Side
608,-73.9728,40.7379,Murray Hill-Kips Bay
609,-73.9478,40.7773,Yorkville
610,-73.9819,40.764,Midtown-Midtown South
611,-73.9532,40.7749,Yorkville
612,-73.9782,40.7447,Murray Hill-Kips Bay
613,-73.9925,40.7225,Chinatown
614,-73.9676,40.7951,Upper West Side
615,-74.0122,40.7074,Battery Park City-Lower Manhattan
617,-73.9416,40.7983,East Harlem North
618,-73.987,40.7604,Midtown-Midtown South
619,-73.9748,40.7481,Murray Hill-Kips Bay
621,-74.001,40.7344,West Village
622,-73.9767,40.7465,Murray Hill-Kips Bay
623,-73.9887,40.7401,Hudson Yards-Chelsea-Flatiron-Union Square
624,-73.9452,40.7766,Yorkville
625,-73.9801,40.7272,East Village
627,-73.9815,40.7401,Murray Hill-Kips Bay
628,-73.9776,40.7461,Murray Hill-Kips Bay
629,-73.9801,40.6821,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
630,-73.9851,40.7265,East Village
632,-73.9812,40.661,Windsor Terrace
633,-73.8194,40.7657,Murray Hill
634,-73.952,40.841,Unknown
636,-73.9849,40.7286,East Village
637,-73.9838,40.6978,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
638,-73.9964,40.7441,Hudson Yards-Chelsea-Flatiron-Union Square
